BI	TOTAL	ABU	JOC	MON	OUV	PER
/C	1713	0	 1688	0	 1	 24
/D	19	0	 13	 1	0	 5
/E	52	0	 36	 1	 1	 14
/F	11	0	 8	 1	 2	0
/G	3	0	 1	 2	0	0
/H	29	0	 6	 7	 3	 13
/I	16	0	 7	0	0	 9
/J	14	0	 13	0	 1	0
/K	7	0	 5	0	 2	0
/L	16	0	 9	 2	0	 5
/M	14	0	 8	0	 1	 5
/N	5	0	 3	0	0	 2
/O	10	0	 9	0	0	 1
/P	20	0	 15	0	0	 5
/Q	1	0	0	 1	0	0
/R	20	0	 4	0	0	 16
/S	12	0	 8	0	0	 4
/T	18	0	 6	 2	 8	 2
/U	6	0	 1	0	0	 5
/V	2	0	 2	0	0	0
/W	7	0	 4	0	 3	0
/a	36	0	 8	 1	 4	 23
/b	11	0	 3	0	0	 8
/c	64	0	 17	0	 7	 40
/d	28	0	 12	 1	 2	 13
/e	27	0	 10	 2	 7	 8
/f	24	0	 13	0	 3	 8
/g	6	0	 3	0	 1	 2
/h	277	0	 18	 4	 250	 5
/i	21	0	 4	0	 4	 13
/j	15	0	0	 1	 9	 5
/k	32	0	 5	0	 24	 3
/l	33	0	 11	 1	 3	 18
/m	57	0	 9	 1	 13	 34
/n	8	0	 3	0	0	 5
/o	184	0	 115	0	 36	 33
/p	67	0	 19	 5	 10	 33
/q	2	 2	0	0	0	0
/r	40	0	 26	 2	 2	 10
/s	48	0	 4	 3	 5	 36
/t	25	0	 8	0	 12	 5
/u	8	0	 1	0	 3	 4
/v	9	0	 3	 1	0	 5
/w	3	0	 1	0	 1	 1
/y	1	0	0	 1	0	0
/z	2	0	0	0	0	 2
/œ	1	0	0	0	 1	0
/«	1	0	0	0	0	 1
/É	6	0	 5	0	0	 1
/é	14	0	 6	0	 1	 7
0 	11416	 259	 3795	 3533	 2595	 1234
0"	3	0	0	 2	0	 1
0$	1	0	0	0	0	 1
0%	90	0	 1	 41	0	 48
0'	13	 11	0	0	0	 2
0(	2	0	0	0	 2	0
0)	1454	 4	 149	 746	 218	 337
0+	3	0	 1	 1	 1	0
0,	3645	 61	 662	 1638	 888	 396
0-	373	0	 60	 21	 167	 125
0.	1474	 51	 753	 194	 350	 126
0/	690	 1	 650	 3	 22	 14
00	7428	 175	 2629	 2061	 1806	 757
01	757	 14	 271	 236	 170	 66
02	570	 15	 203	 210	 96	 46
03	610	 11	 221	 224	 102	 52
04	565	 16	 148	 231	 118	 52
05	641	 8	 183	 224	 183	 43
06	565	 3	 179	 219	 123	 41
07	548	 3	 177	 221	 121	 26
08	500	 11	 165	 205	 87	 32
09	662	 6	 305	 206	 124	 21
0:	7	0	 5	0	0	 2
0;	12	0	 12	0	0	0
0?	15	0	 14	 1	0	0
0A	10	0	 9	0	0	 1
0B	3	0	0	0	0	 3
0C	1	0	0	0	0	 1
0E	1	0	 1	0	0	0
0F	1	0	 1	0	0	0
0H	1	0	0	0	0	 1
0K	3	0	0	0	0	 3
0R	8	0	 8	0	0	0
0]	5	 1	 1	0	 1	 2
0a	8	0	 1	0	0	 7
0b	8	0	 2	0	0	 6
0c	4	0	0	0	0	 4
0d	4	0	0	 1	0	 3
0e	43	 2	0	 37	 1	 3
0h	1	0	0	0	0	 1
0k	1	0	0	0	0	 1
0l	3	0	0	0	 3	0
0m	1	0	0	0	0	 1
0o	3	0	0	 1	0	 2
0r	3	0	 3	0	0	0
0s	3	0	0	0	0	 3
0t	1	0	0	0	0	 1
0¡	6	0	0	0	0	 6
0°	62	 19	0	0	 1	 42
0»	11	0	 6	0	0	 5
0è	6	0	 5	 1	0	0
1 	9962	 102	 5758	 2615	 912	 575
1"	1	0	0	 1	0	0
1%	16	0	 1	 5	0	 10
1'	24	 22	0	0	 1	 1
1(	6	0	0	0	 6	0
1)	2555	 4	 832	 877	 216	 626
1*	4	0	0	0	0	 4
1+	3	0	0	0	 1	 2
1,	3217	 29	 800	 1572	 414	 402
1-	308	0	 57	 23	 137	 91
1.	2833	 33	 2283	 182	 196	 139
1/	825	 3	 735	 13	 25	 49
10	3757	 90	 1510	 942	 659	 556
11	2561	 44	 1077	 703	 454	 283
12	2742	 42	 1287	 689	 429	 295
13	2001	 37	 738	 581	 401	 244
14	2094	 48	 791	 621	 454	 180
15	2441	 86	 949	 682	 456	 268
16	2182	 111	 957	 622	 324	 168
17	2104	 92	 830	 593	 377	 212
18	4599	 216	 823	 641	 2640	 279
19	29549	 87	 14864	 4692	 5501	 4405
1:	5	0	 5	0	0	0
1;	13	0	 11	0	 1	 1
1?	21	0	 21	0	0	0
1A	1	0	 1	0	0	0
1B	5	0	0	0	0	 5
1C	4	0	0	0	0	 4
1O	1	0	0	0	0	 1
1P	2	0	0	0	0	 2
1R	2	0	0	0	0	 2
1S	1	0	0	0	0	 1
1X	1	0	 1	0	0	0
1[	2	0	0	0	0	 2
1]	9	0	0	 1	 6	 2
1a	14	 1	 1	0	0	 12
1b	6	0	0	0	0	 6
1c	2	0	0	0	0	 2
1d	6	0	0	 1	0	 5
1e	780	 57	 546	 100	 42	 35
1h	1	0	0	0	0	 1
1i	1	0	0	0	0	 1
1j	1	0	0	 1	0	0
1o	1	0	0	 1	0	0
1r	5	 1	0	0	 3	 1
1s	1	0	 1	0	0	0
1t	1	0	0	0	0	 1
1°	15	 7	0	0	 6	 2
1»	12	0	 11	0	0	 1
1è	8	0	 4	0	0	 4
2 	8824	 125	 4818	 2478	 869	 534
2"	1	0	0	0	0	 1
2%	20	0	0	 9	 1	 10
2'	4	 4	0	0	0	0
2)	3852	 2	 2349	 773	 224	 504
2*	2	0	0	0	0	 2
2+	15	0	0	0	 1	 14
2,	3436	 28	 1345	 1253	 411	 399
2-	308	 1	 69	 21	 139	 78
2.	3285	 25	 2300	 576	 213	 171
2/	918	0	 865	0	 21	 32
20	2846	 78	 1010	 862	 633	 263
21	1548	 44	 716	 494	 178	 116
22	1548	 40	 663	 481	 250	 114
23	1539	 36	 703	 487	 204	 109
24	1490	 36	 674	 430	 221	 129
25	1929	 29	 843	 562	 318	 177
26	1493	 33	 698	 459	 173	 130
27	1383	 41	 577	 470	 168	 127
28	1535	 46	 715	 486	 176	 112
29	1474	 30	 680	 485	 183	 96
2:	17	0	 16	0	0	 1
2;	15	0	 15	0	0	0
2?	90	0	 90	0	0	0
2A	1	0	0	0	0	 1
2B	9	0	0	0	0	 9
2C	20	0	0	0	 8	 12
2D	57	0	0	0	 57	0
2E	3	0	 1	 2	0	0
2F	12	0	0	0	0	 12
2I	2	0	0	0	0	 2
2J	7	0	 7	0	0	0
2K	1	0	0	0	0	 1
2M	9	0	 3	0	0	 6
2N	1	0	0	0	0	 1
2O	21	0	0	0	0	 21
2P	14	0	0	0	0	 14
2R	2	0	0	0	0	 2
2S	1	0	0	0	0	 1
2V	4	0	 3	0	0	 1
2W	2	0	 2	0	0	0
2Y	3	0	0	0	0	 3
2[	2	0	0	0	0	 2
2]	9	0	 1	0	 2	 6
2a	12	0	 5	0	 3	 4
2b	14	0	 5	0	 6	 3
2c	2	0	0	0	0	 2
2d	6	0	0	0	0	 6
2e	56	 7	0	 41	 3	 5
2l	1	0	 1	0	0	0
2m	1	0	 1	0	0	0
2n	3	0	0	0	0	 3
2o	2	0	0	 2	0	0
2s	1	0	0	0	0	 1
2x	5	0	0	0	0	 5
2¡	2	0	0	0	0	 2
2°	25	 12	0	0	 8	 5
2»	10	0	 9	0	0	 1
2è	8	0	 5	0	0	 3
3 	6925	 113	 3351	 2345	 723	 393
3"	2	0	0	 2	0	0
3%	28	0	0	 16	0	 12
3'	8	 2	0	0	0	 6
3(	8	0	 6	0	 2	0
3)	5547	 9	 4141	 731	 197	 469
3*	1	0	0	0	0	 1
3+	10	0	0	0	0	 10
3,	2415	 28	 761	 997	 352	 277
3-	410	0	 196	 28	 110	 76
3.	2112	 33	 1657	 140	 175	 107
3/	603	0	 571	0	 13	 19
30	2547	 54	 1056	 674	 567	 196
31	1675	 27	 878	 460	 231	 79
32	1030	 11	 364	 403	 194	 58
33	1191	 6	 522	 442	 172	 49
34	934	 7	 299	 418	 145	 65
35	1109	 6	 337	 458	 193	 115
36	960	 18	 326	 411	 135	 70
37	1127	 4	 486	 376	 201	 60
38	1001	 9	 293	 384	 249	 66
39	831	 8	 281	 351	 114	 77
3:	8	0	 7	0	0	 1
3;	11	0	 10	0	0	 1
3?	37	0	 37	0	0	0
3A	4	0	 3	0	0	 1
3B	1	0	0	0	0	 1
3C	9	0	0	0	0	 9
3D	14	0	0	0	0	 14
3G	1	0	0	0	0	 1
3H	3	0	0	0	0	 3
3I	2	0	0	0	0	 2
3K	10	0	 7	0	0	 3
3L	16	0	 6	0	0	 10
3M	2	0	0	0	0	 2
3N	1	0	0	0	0	 1
3O	4	0	0	0	0	 4
3]	3	 1	0	0	 1	 1
3a	9	0	0	0	 1	 8
3b	16	0	 1	0	 1	 14
3c	3	0	0	0	0	 3
3e	49	 2	0	 40	 2	 5
3o	1	0	0	 1	0	0
3t	1	 1	0	0	0	0
3°	10	 4	0	0	 4	 2
3²	1	0	0	0	0	 1
3»	8	0	 7	0	0	 1
3è	7	0	 5	0	0	 2
4 	4831	 108	 1629	 2040	 703	 351
4"	1	0	0	 1	0	0
4%	16	0	0	 10	 1	 5
4(	5	0	 1	0	 4	0
4)	1493	 8	 278	 693	 176	 338
4,	1844	 34	 268	 855	 425	 262
4-	213	0	 39	 17	 102	 55
4.	1661	 26	 1197	 129	 187	 122
4/	549	0	 517	0	 12	 20
40	1688	 25	 604	 571	 335	 153
41	817	 6	 208	 382	 154	 67
42	875	 7	 338	 367	 114	 49
43	787	 10	 240	 379	 111	 47
44	806	 12	 244	 392	 126	 32
45	939	 21	 230	 438	 161	 89
46	663	 10	 204	 315	 103	 31
47	693	 6	 183	 327	 127	 50
48	751	 8	 231	 321	 138	 53
49	718	 12	 174	 355	 130	 47
4:	3	0	 3	0	0	0
4;	4	0	 2	0	0	 2
4?	7	0	 7	0	0	0
4C	1	0	 1	0	0	0
4D	2	0	 1	0	0	 1
4G	1	0	0	0	0	 1
4J	1	0	 1	0	0	0
4N	3	0	 3	0	0	0
4R	1	0	0	0	0	 1
4S	1	0	0	0	0	 1
4]	1	0	0	0	 1	0
4a	8	0	0	0	0	 8
4b	15	0	 1	0	0	 14
4c	2	0	0	0	 1	 1
4d	2	0	0	0	0	 2
4e	48	 4	 1	 39	 1	 3
4t	1	0	 1	0	0	0
4°	18	 11	 1	0	 2	 4
4²	1	0	0	0	0	 1
4»	1	0	 1	0	0	0
4è	10	0	 10	0	0	0
5 	5929	 127	 2161	 2225	 927	 489
5"	4	0	0	 4	0	0
5%	45	0	0	 26	 1	 18
5'	10	 6	0	0	0	 4
5(	4	0	 1	 1	 2	0
5)	1360	 7	 130	 700	 237	 286
5+	5	0	0	 1	0	 4
5,	1990	 21	 329	 897	 478	 265
5-	264	 1	 17	 28	 126	 92
5.	1511	 20	 1046	 143	 185	 117
5/	768	0	 717	0	 3	 48
50	2148	 33	 628	 707	 542	 238
51	655	 14	 181	 283	 126	 51
52	664	 10	 181	 314	 110	 49
53	704	 8	 183	 321	 137	 55
54	629	 10	 138	 311	 123	 47
55	724	 19	 197	 311	 138	 59
56	634	 7	 204	 293	 65	 65
57	623	 12	 156	 279	 114	 62
58	645	 10	 169	 307	 97	 62
59	559	 8	 158	 246	 104	 43
5:	4	0	 4	0	0	0
5;	5	0	 4	0	0	 1
5?	6	0	 6	0	0	0
5A	1	0	0	0	0	 1
5B	1	0	 1	0	0	0
5H	1	0	0	0	 1	0
5K	2	0	0	0	0	 2
5]	1	0	0	0	0	 1
5a	13	0	 6	0	 1	 6
5b	55	0	 41	0	 6	 8
5d	2	0	0	0	0	 2
5e	50	 3	0	 41	 1	 5
5h	3	0	0	0	0	 3
5o	3	0	0	 1	0	 2
5s	1	0	0	0	0	 1
5t	1	0	0	0	0	 1
5x	1	0	0	0	0	 1
5¡	1	0	0	0	0	 1
5°	14	 5	 4	0	 1	 4
5º	1	0	 1	0	0	0
5»	5	0	 1	0	0	 4
5è	10	0	 9	0	0	 1
6 	4366	 104	 1520	 1850	 614	 278
6"	4	0	0	 4	0	0
6%	22	0	0	 15	0	 7
6)	1286	 3	 81	 717	 170	 315
6,	1759	 28	 263	 938	 327	 203
6-	286	0	 26	 104	 75	 81
6.	1305	 12	 911	 134	 151	 97
6/	606	0	 592	 1	 5	 8
60	1353	 27	 356	 480	 354	 136
61	546	 6	 155	 246	 86	 53
62	646	 8	 199	 284	 104	 51
63	573	 14	 148	 262	 99	 50
64	635	 16	 184	 254	 137	 44
65	723	 12	 196	 302	 154	 59
66	635	 8	 170	 260	 151	 46
67	678	 12	 188	 274	 160	 44
68	794	 11	 309	 274	 121	 79
69	668	 6	 242	 223	 123	 74
6:	1	0	 1	0	0	0
6;	3	0	 1	0	0	 2
6?	8	0	 8	0	0	0
6J	1	0	0	0	0	 1
6K	1	0	0	0	0	 1
6M	1	0	0	0	0	 1
6S	1	0	0	0	0	 1
6]	1	0	0	0	0	 1
6a	1	0	0	0	0	 1
6b	8	0	0	0	0	 8
6d	2	0	0	0	0	 2
6e	65	 1	0	 52	 3	 9
6p	1	0	0	0	0	 1
6t	2	0	0	0	0	 2
6°	11	 5	 2	0	 1	 3
6»	4	0	 1	0	0	 3
6è	6	0	 6	0	0	0
7 	4032	 90	 1416	 1672	 608	 246
7"	1	0	0	0	 1	0
7%	19	0	0	 12	 2	 5
7'	1	 1	0	0	0	0
7(	12	0	 1	 1	 10	0
7)	1175	 3	 66	 637	 217	 252
7,	1619	 23	 213	 881	 349	 153
7-	307	0	 106	 60	 69	 72
7.	1234	 19	 844	 138	 157	 76
7/	759	0	 749	 2	 3	 5
70	1200	 20	 240	 416	 342	 182
71	713	 6	 203	 273	 130	 101
72	726	 6	 176	 284	 174	 86
73	596	 7	 148	 259	 104	 78
74	671	 9	 178	 255	 166	 63
75	987	 2	 418	 298	 177	 92
76	838	 6	 339	 296	 102	 95
77	823	 5	 318	 282	 112	 106
78	865	 6	 304	 290	 145	 120
79	971	 30	 384	 258	 186	 113
7:	3	0	 1	0	0	 2
7;	1	0	0	 1	0	0
7?	12	0	 11	 1	0	0
7A	1	0	 1	0	0	0
7B	1	0	0	0	0	 1
7J	3	0	0	 3	0	0
7K	1	0	0	0	0	 1
7]	3	0	0	0	 3	0
7a	11	0	0	0	0	 11
7b	6	0	0	0	0	 6
7c	1	0	0	0	0	 1
7d	1	0	0	0	0	 1
7e	40	 2	0	 35	 1	 2
7p	1	0	0	0	0	 1
7t	1	0	0	0	0	 1
7°	5	 4	0	0	0	 1
7»	3	0	 1	0	0	 2
7è	14	0	 13	0	0	 1
8 	4078	 106	 1548	 1570	 582	 272
8!	1	0	0	 1	0	0
8%	23	0	0	 13	 1	 9
8(	1	0	0	0	 1	0
8)	1206	 3	 75	 730	 176	 222
8+	3	0	0	0	 1	 2
8,	1743	 18	 280	 889	 331	 225
8-	195	0	 19	 19	 90	 67
8.	1285	 20	 672	 357	 153	 83
8/	758	 1	 750	0	 3	 4
80	1639	 23	 438	 510	 433	 235
81	925	 12	 232	 352	 201	 128
82	1020	 28	 249	 328	 282	 133
83	1062	 18	 245	 359	 321	 119
84	1122	 35	 306	 339	 289	 153
85	1709	 36	 702	 411	 331	 229
86	1524	 15	 489	 554	 304	 162
87	1603	 11	 435	 442	 549	 166
88	2305	 15	 699	 739	 620	 232
89	2492	 43	 1029	 410	 763	 247
8:	5	0	 5	0	0	0
8;	2	0	 1	0	0	 1
8?	5	0	 5	0	0	0
8A	5	0	 5	0	0	0
8H	2	0	 2	0	0	0
8O	1	0	0	0	0	 1
8T	1	0	0	0	0	 1
8]	1	0	0	0	0	 1
8a	7	0	 1	0	 3	 3
8b	11	0	0	0	 7	 4
8c	7	0	 3	0	0	 4
8e	41	 1	0	 37	 1	 2
8l	1	0	0	0	 1	0
8m	1	0	0	0	0	 1
8t	2	0	0	0	0	 2
8°	5	 3	0	0	0	 2
8»	2	0	 1	0	0	 1
8è	12	0	 9	 2	0	 1
9 	3892	 100	 1550	 1464	 579	 199
9!	1	0	 1	0	0	0
9"	1	0	0	 1	0	0
9%	9	0	0	 6	 1	 2
9(	1	0	0	0	 1	0
9)	1169	 6	 74	 713	 189	 187
9,	1687	 18	 353	 777	 340	 199
9-	220	 1	 47	 24	 74	 74
9.	1092	 20	 701	 139	 151	 81
9/	970	0	 954	0	 3	 13
90	3117	 65	 1293	 500	 856	 403
91	3875	 6	 2089	 417	 984	 379
92	8181	 15	 6153	 913	 673	 427
93	8130	 38	 6341	 425	 912	 414
94	1749	 8	 394	 492	 449	 406
95	1540	 6	 247	 375	 537	 375
96	1670	 7	 259	 389	 623	 392
97	2438	 4	 633	 556	 570	 675
98	6144	 5	 2040	 2112	 674	 1313
99	15629	 9	 11797	 1420	 443	 1960
9:	3	0	 3	0	0	0
9;	10	0	 9	0	0	 1
9?	7	0	 6	 1	0	0
9C	1	0	0	0	0	 1
9F	1	0	0	0	0	 1
9G	1	0	 1	0	0	0
9I	8	0	0	0	0	 8
9J	1	0	 1	0	0	0
9]	2	0	0	0	 1	 1
9a	16	0	0	0	 12	 4
9b	11	0	 2	0	 1	 8
9c	1	0	0	0	0	 1
9d	1	0	0	0	0	 1
9e	42	 3	0	 32	 4	 3
9g	1	0	0	0	0	 1
9x	2	0	0	0	0	 2
9°	5	 4	0	0	0	 1
9»	5	0	 5	0	0	0
9è	11	0	 10	0	0	 1
: 	24265	 3515	 5891	 4974	 5209	 4676
:"	2	 1	0	 1	0	0
:(	1	0	 1	0	0	0
:)	1	0	0	0	0	 1
:,	4	 3	0	0	0	 1
:-	1	0	0	0	0	 1
:.	2	 2	0	0	0	0
:/	2	0	0	0	0	 2
:1	3	 1	0	0	0	 2
:D	1	0	0	0	 1	0
:E	1	0	0	0	0	 1
:J	1	0	0	 1	0	0
:L	3	0	0	 1	 2	0
:O	1	0	 1	0	0	0
:P	1	0	0	0	 1	0
:R	1	0	0	 1	0	0
:S	1	0	0	0	 1	0
:]	1	0	0	0	 1	0
:c	1	0	0	0	 1	0
:d	3	0	0	0	 2	 1
:e	2	0	0	 1	 1	0
:f	1	0	0	0	 1	0
:j	1	0	0	0	 1	0
:l	16	 1	0	 4	 11	0
:p	1	0	0	0	 1	0
:r	1	0	0	 1	0	0
:s	1	0	0	0	 1	0
:u	5	0	0	0	 5	0
:«	4	0	0	0	 2	 2
:»	1	 1	0	0	0	0
:é	1	0	0	0	 1	0
; 	20915	 8541	 618	 7360	 2022	 2374
;)	2	0	0	0	0	 2
;,	15	0	0	0	0	 15
;-	3	0	0	0	0	 3
;.	12	 1	 1	 1	0	 9
;3	4	0	 4	0	0	0
;;	1	0	0	 1	0	0
;P	4	0	0	 2	0	 2
;V	1	0	0	 1	0	0
;]	3	0	0	0	 3	0
;b	2	0	 1	0	0	 1
;c	6	0	 1	0	0	 5
;d	2	0	 1	0	0	 1
;e	2	0	 2	0	0	0
;f	1	0	 1	0	0	0
;g	2	0	 1	0	0	 1
;l	6	0	0	 1	0	 5
;m	1	0	0	0	0	 1
;p	3	0	0	0	0	 3
;s	1	0	0	0	0	 1
;t	2	0	0	0	0	 2
;v	2	 1	0	0	0	 1
;»	3	 1	 2	0	0	0
< 	12	 3	0	0	0	 9
<,	1	 1	0	0	0	0
<=	10	0	0	0	0	 10
<[	1	0	0	0	0	 1
= 	148	 20	 4	 9	 41	 74
="	1	0	0	0	0	 1
=,	3	 3	0	0	0	0
=1	6	0	0	0	0	 6
=2	1	0	0	0	0	 1
=8	2	0	0	0	0	 2
==	24	 24	0	0	0	0
=>	9	0	 2	0	0	 7
=C	2	0	0	0	0	 2
=T	1	0	0	0	0	 1
=[	10	0	0	0	0	 10
=`	1	0	0	0	0	 1
=l	1	0	0	0	0	 1
=t	1	0	0	0	0	 1
=|	3	0	0	0	0	 3
=Œ	1	0	0	0	0	 1
=Ë	1	0	0	0	0	 1
=Í	3	0	0	0	0	 3
=ç	5	0	0	0	0	 5
> 	28	 7	0	0	0	 21
>)	2	0	0	0	0	 2
>,	4	 3	0	0	0	 1
>.	1	0	0	0	0	 1
>1	2	0	 2	0	0	0
>3	1	0	0	0	0	 1
>4	1	0	0	0	0	 1
>6	1	0	0	0	0	 1
>8	1	0	0	0	0	 1
>=	24	0	0	0	0	 24
>>	2	0	0	0	0	 2
>[	1	0	0	0	0	 1
>u	3	0	0	0	0	 3
>z	2	0	0	0	0	 2
? 	6656	 2580	 959	 1311	 814	 992
?"	55	0	0	 34	 7	 14
?)	74	 4	 5	 15	 20	 30
?,	14	 1	 1	 3	 4	 5
?.	92	 72	0	 13	 3	 4
??	8	 1	0	0	0	 7
?N	1	0	0	0	 1	0
?]	5	0	0	0	0	 5
?u	3	0	0	0	0	 3
?»	58	 17	 7	0	0	 34
@ 	1	 1	0	0	0	0
@)	2	 2	0	0	0	0
@@	18	 18	0	0	0	0
@c	1	0	0	0	0	 1
A 	3261	 912	 410	 1203	 130	 606
A)	424	0	 258	 33	 68	 65
A,	361	 15	 109	 135	 23	 79
A-	158	 1	 88	 33	 16	 20
A.	1163	 7	 84	 719	 229	 124
A/	31	0	 29	0	0	 2
A0	1	0	 1	0	0	0
A1	14	0	 12	 1	 1	0
A2	13	0	 9	 4	0	0
A3	48	0	 48	0	0	0
A4	5	0	 4	0	0	 1
A5	4	0	 4	0	0	0
A6	3	0	 2	0	 1	0
A7	11	0	 11	0	0	0
A9	1	0	 1	0	0	0
A:	4	0	 3	 1	0	0
A;	3	0	 3	0	0	0
A=	1	0	0	0	0	 1
A?	11	0	 11	0	0	0
AA	39	0	 11	 16	 6	 6
AB	77	 5	 23	 21	 10	 18
AC	506	 29	 268	 136	 14	 59
AD	282	 15	 21	 39	 10	 197
AE	73	 1	 58	 3	 3	 8
AF	129	 2	 57	 26	 4	 40
AG	113	 16	 28	 36	 5	 28
AH	6	0	 3	0	0	 3
AI	288	 40	 103	 83	 34	 28
AJ	2	0	0	0	 1	 1
AK	17	 1	 5	 4	0	 7
AL	242	 37	 43	 100	 10	 52
AM	243	 22	 64	 53	 29	 75
AN	427	 74	 50	 174	 46	 83
AO	45	 2	 19	 16	 1	 7
AP	343	 76	 43	 149	 29	 46
AQ	6	 1	0	 3	0	 2
AR	555	 96	 106	 146	 13	 194
AS	243	 29	 75	 77	 5	 57
AT	536	 22	 212	 168	 8	 126
AU	132	 26	 2	 52	 7	 45
AV	71	 11	 14	 24	 3	 19
AW	7	0	 7	0	0	0
AX	8	 3	0	 3	 2	0
AY	17	 7	0	 4	 1	 5
AZ	28	0	 6	 4	0	 18
A]	1	0	0	0	0	 1
Aa	8	0	 4	 1	0	 3
Ab	352	 44	 69	 126	 82	 31
Ac	1148	 76	 575	 146	 255	 96
Ad	424	 96	 90	 92	 83	 63
Ae	29	 5	 13	 3	 1	 7
Af	865	 133	 421	 150	 94	 67
Ag	453	 16	 284	 90	 21	 42
Ah	463	 398	 15	 34	 9	 7
Ai	1948	 200	 360	 311	 649	 428
Aj	40	 7	 3	 9	 10	 11
Ak	27	0	 14	 8	0	 5
Al	3946	 818	 797	 1240	 703	 388
Am	1444	 214	 603	 366	 125	 136
An	2394	 537	 458	 685	 411	 303
Ao	33	 4	 20	 8	0	 1
Ap	948	 199	 168	 268	 166	 147
Aq	64	 4	 3	 42	 2	 13
Ar	1856	 301	 395	 476	 240	 444
As	973	 146	 317	 266	 101	 143
At	581	 111	 261	 106	 42	 61
Au	4135	 783	 655	 1172	 870	 655
Av	908	 210	 72	 319	 170	 137
Aw	11	0	 3	 5	0	 3
Ax	35	 1	 9	 15	0	 10
Ay	131	 51	 12	 45	 18	 5
Az	116	 4	 42	 52	 9	 9
A»	6	0	 4	0	0	 2
AË	1	0	0	0	0	 1
AÎ	1	0	0	0	0	 1
AÏ	1	0	0	 1	0	0
AÔ	2	0	0	 2	0	0
Aç	6	0	 4	 1	0	 1
Aé	26	0	 2	 11	0	 13
Aî	1	 1	0	0	0	0
Aï	12	 3	0	 9	0	0
Añ	1	0	 1	0	0	0
B 	514	 28	 96	 59	 244	 87
B(	1	0	 1	0	0	0
B)	167	0	 53	 23	 60	 31
B,	107	 13	 15	 25	 22	 32
B-	17	0	 8	 5	0	 4
B.	397	 7	 16	 247	 41	 86
B/	10	0	 8	0	0	 2
B0	1	0	 1	0	0	0
B1	2	0	 1	0	 1	0
B2	17	0	 11	0	 3	 3
B3	62	0	 62	0	0	0
B4	4	0	 3	0	0	 1
B5	7	0	 7	0	0	0
B6	2	0	 2	0	0	0
B7	79	0	 78	0	0	 1
B8	1	0	 1	0	0	0
B9	5	0	0	0	 1	 4
B:	2	0	0	0	0	 2
B;	1	0	 1	0	0	0
B?	3	0	 3	0	0	0
BA	84	 16	 22	 22	 2	 22
BB	300	0	 4	 26	 261	 9
BC	57	0	 21	 18	 5	 13
BD	9	0	 4	 3	 1	 1
BE	193	 29	 118	 25	 1	 20
BF	20	0	0	 3	0	 17
BG	13	0	 8	 1	0	 4
BH	10	0	 4	 4	 2	0
BI	100	 7	 16	 38	 4	 35
BJ	6	0	0	 2	 2	 2
BK	6	0	 2	 3	 1	0
BL	51	 12	 2	 9	 4	 24
BM	65	0	 32	 29	0	 4
BN	35	 6	 7	 17	 1	 4
BO	53	 10	 4	 14	 1	 24
BP	47	0	 10	 12	0	 25
BR	83	 7	 12	 13	 35	 16
BS	41	 1	 16	 17	 1	 6
BT	33	0	 22	 9	 1	 1
BU	22	 4	 3	 7	0	 8
BV	21	0	0	 4	0	 17
BW	1	0	0	 1	0	0
BX	1	0	0	 1	0	0
BY	5	0	0	 5	0	0
BZ	6	0	 5	 1	0	0
Ba	3762	 548	 918	 1529	 388	 379
Bd	6	 6	0	0	0	0
Be	2730	 359	 420	 1167	 459	 325
Bh	20	 2	0	 18	0	0
Bi	1201	 197	 218	 336	 202	 248
Bj	3	0	 1	 1	0	 1
Bl	691	 107	 59	 207	 237	 81
Bo	3693	 1280	 238	 1062	 713	 400
Bq	1	0	 1	0	0	0
Br	2413	 427	 539	 814	 338	 295
Bs	17	0	 1	0	0	 16
Bt	1	0	0	0	 1	0
Bu	930	 102	 219	 310	 147	 152
Bw	1	0	0	 1	0	0
By	11	 1	 2	 2	0	 6
Bœ	1	0	0	0	 1	0
B»	8	0	0	0	0	 8
BÉ	1	0	0	0	0	 1
Bâ	37	 4	 15	 7	 5	 6
Bä	3	0	 2	0	 1	0
Bè	1	0	0	 1	0	0
Bé	300	 85	 20	 140	 45	 10
Bê	5	 2	0	 2	 1	0
Bö	13	0	 10	 1	 2	0
Bû	1	0	0	0	 1	0
Bü	23	0	 1	 1	 20	 1
C 	1371	 16	 736	 293	 221	 105
C"	2	0	0	0	0	 2
C'	4916	 1688	 270	 1001	 1143	 814
C(	93	0	 93	0	0	0
C)	303	 1	 204	 39	 21	 38
C+	1	0	0	0	0	 1
C,	925	 11	 37	 791	 50	 36
C-	101	0	 67	 9	 12	 13
C.	388	 26	 49	 56	 103	 154
C/	28	0	 16	0	0	 12
C1	29	0	 7	 1	 1	 20
C2	19	0	 1	0	 8	 10
C3	6	0	 3	0	 3	0
C4	1	0	0	0	0	 1
C5	5	0	0	0	0	 5
C6	5	0	 1	0	0	 4
C8	1	0	 1	0	0	0
C9	3	0	 1	0	0	 2
C;	1	0	 1	0	0	0
C=	1	0	0	0	0	 1
C?	5	0	 5	0	0	0
CA	387	 58	 180	 78	 16	 55
CB	44	0	 39	 2	0	 3
CC	404	 4	 197	 17	 163	 23
CD	308	0	 49	 226	 8	 25
CE	3372	 21	 2941	 212	 47	 151
CF	1253	0	 29	 263	 947	 14
CG	263	0	 79	 96	 86	 2
CH	241	 95	 2	 60	 1	 83
CI	307	 19	 112	 67	 52	 57
